City,Cases,Deaths,Recovered,ReportDate
CHATTANOOGA,1,0,0,2020-07-16
SCHULTER,1,0,0,2020-07-16
ALBION,1,0,0,2020-07-16
WAUKOMIS,1,0,1,2020-07-16
HASTINGS,1,0,1,2020-07-16
CALVIN,1,0,1,2020-07-16
HAILEYVILLE,1,0,1,2020-07-16
GOTEBO,1,0,1,2020-07-16
BOLEY,1,0,1,2020-07-16
WYNONA,1,0,1,2020-07-16
FORT SUPPLY,1,0,1,2020-07-16
HALLETT,1,0,1,2020-07-16
OKEENE,1,0,1,2020-07-16
HITCHCOCK,1,0,1,2020-07-16
GOLDSBY,1,0,1,2020-07-16
BRAGGS,1,0,1,2020-07-16
OSAGE,1,0,0,2020-07-16
MEDFORD,1,0,1,2020-07-16
TUPELO,1,0,0,2020-07-16
